Goodboy's Season 1,Medicham-Mega,Celesteela,Iron Moth,Baxcalibur,Zeraora,Primarina,Grimmsnarl,Serperior,Quagsire,Furret,
Toxfacade's Season 1,Landorus,Raging Bolt,Scizor,Blacephalon,Keldeo,Aggron-Mega,Toxapex,Scream Tail,Arboliva,Ditto,
Charles's Season 1,Gouging Fire,Ursaluna-Bloodmoon,Annihilape,Slowking,Tornadus-Therian,Raikou,Florges,Scizor-Mega,Tangela,Glimmet,
Psy's Season 1,Chien-Pao,Quaquaval,Tapu Lele,Glimmora,Corviknight,Clodsire,Drifblim,Charizard-Mega-X,Umbreon,Gogoat,
Omey's Season 1,Tapu Koko,Iron Crown,Hawlucha,Ogerpon-Hearthflame,Iron Treads,Kyurem,Iron Jugulis,Blastoise-Mega,Raichu-Alola,Gloom,
Evan's Season 1,Iron Bundle,Landorus-Therian,Diancie-Mega,Ogerpon-Teal-Mask,Reuniclus,Gastrodon,Qwilfish-Hisui,Cyclizar,Emboar,Jirachi,
Pivot's Season 1,Urshifu-Single,Ferrothorn,Jolteon,Iron Boulder,Gengar,Swampert,Weezing-Galar,Moltres,Altaria-Mega,Cryogonal,
Kwad's Season 1,Gholdengo,Latios,Manaphy,Ninetales-Alola,Meowscarada,Drapion,Magmortar,Claydol,Arctozolt,Toucannon,Lopunny-Mega
Doc's Season 1,Walking Wake,Great Tusk,Beedrill-Mega,Hatterene,Thundurus-Therian,Samurott-Hisui,Venusaur,Torkoal,Cinccino,Bronzong,
Rifk's Season 1,Dragapult,Okidogi,Kingambit,Vaporeon,Zapdos,Cinderace,Gligar,Comfey,Tsareena,Carkol,
BDI's Season 1,Sneasler,Mawile-Mega,Rillaboom,Ogerpon-Wellspring,Archaludon,Gliscor,Armarouge,Swellow,Chandelure,Ariados,
Erichum's Season 1,Garchomp,Deoxys-Speed,Enamorus,Terapagos,Tapu Bulu,Melmetal,Swampert-Mega,Pecharunt,Articuno,Persian,
Alon's Season 1,Scizor-Mega,Ursaluna-Bloodmoon,Munkidori,Mienshao,Ting-Lu,Dondozo,Rotom-Heat,Comfey,Aerodactyl,Thwackey,Drifblim
Rawthorn's Season 1,Palafin,Sneasler,Blacephalon,Swampert,Rillaboom,Scizor,Banette-Mega,Mandibuzz,Alomomola,Tyrantrum,
Stormson's Season 1,Chi-Yu,Tapu Koko,Hawlucha,Ogerpon-Wellspring,Iron Crown,Venusaur,Charizard-Mega-Y,Zygarde,Duraludon,Cherrim,
Athy's Season 1,Kingambit,Zapdos-Galar,Sandy Shocks,Ogerpon-Teal-Mask,Rotom-Wash,Celebi,Fezandipiti,Vanilluxe,Camerupt-Mega,Cyclizar,Phione
Baldspot's Season 1,Lopunny-Mega,Tyranitar,Gholdengo,Excadrill,Salamence,Milotic,Galvantula,Mesprit,Florges,Moltres,
Tiago's Season 1,Dragapult,Volcarona,Lilligant-Hisui,Espathra,Salazzle,Gastrodon,Gliscor,Klefki,Weavile,Linoone-Galar,
Fenrir's Season 1,Chien-Pao,Tapu Lele,Suicune,Clodsire,Jolteon,Corviknight,Shaymin,Arcanine,Lickilicky,Hariyama,Frogadier
Fimmy's Season 1,Zapdos,Landorus-Therian,Conkeldurr,Garganacl,Aegislash,Snorlax,Gardevoir,Slowking,Cinccino,Turtonator,Tropius
Wafflez's Season 1,Garchomp,Iron Boulder,Heatran,Tornadus,Tapu Fini,Venusaur-Mega,Miltank,Rotom-Mow,Incineroar,Misdreavus,
Caeriselene's Season 1,Latios,Great Tusk,Clefable,Scolipede,Tapu Bulu,Melmetal,Jellicent,Kilowattrel,Audino,Absol-Mega,
Kay's Season 1,Landorus,Slowbro,Sylveon,Sableye-Mega,Kartana,Dragonite,Hitmonlee,Araquanid,Lucario,Alcremie,Dedenne
Fae's Season 1,Celesteela,Terapagos,Raging Bolt,Manaphy,Mamoswine,Entei,Slurpuff,Samurott-Hisui,Bewear,Corsola-Galar,Wormadam-Trash
Minecrafter's Season 1,Walking Wake,Slowking-Galar,Rotom-Heat,Slither Wing,Charizard-Mega-Y,Gliscor,Scream Tail,Quagsire,Smeargle,Umbreon,Golem
WorstAsset's Season 1,Chien-Pao,Corviknight,Grimmsnarl,Aegislash,Swampert,Garchomp,Venusaur,Volcanion,Boltund,Shuckle,
Stee's Season 1,Chi-Yu,Basculegion-Male,Greninja,Dracovish,Samurott-Hisui,Azumarill,Rotom-Wash,Blastoise-Mega,Qwilfish-Hisui,Whiscash,
Panda's Season 1,Gouging Fire,Diancie-Mega,Lilligant-Hisui,Fezandipiti,Mandibuzz,Raging Bolt,Mamoswine,Charizard,Wishiwashi,Torkoal,Probopass
Mario's Season 1,Iron Bundle,Landorus-Therian,Swampert-Mega,Politoed,Raikou,Gardevoir,Goodra-Hisui,Dhelmise,Grafaiai,Urshifu-Rapid,Honedge
Rappy's Season 1,Dragapult,Tangrowth,Tapu Lele,Moltres,Metagross,Sneasler,Claydol,Espeon,Toxapex,Electivire,Liepard
Chugaroo's Season 1,Iron Valiant,Heatran,Dragonite,Pecharunt,Krookodile,Empoleon,Kangaskhan-Mega,Gallade,Uxie,Eelektross,
Superpancho's Season 1,Urshifu-Single,Skarmory,Terapagos,Cinderace,Gardevoir-Mega,Lycanroc-Dusk,Serperior,Tentacruel,Electrode-Hisui,Golurk,
Kern's Season 1,Tornadus-Therian,Latias,Darmanitan-Galar,Tauros-Paldea-Fire,Ferrothorn,Sandy Shocks,Primarina,Lopunny-Mega,Overqwil,Golem-Alola,
Kipper's Season 1,Roaring Moon,Tapu Fini,Hawlucha,Ogerpon-Hearthflame,Revavroom,Jolteon,Diggersby,Reuniclus,Froslass,Naclstack,
Brandon's Season 1,Great Tusk,Meowscarada,Cresselia,Iron Moth,Celesteela,Quaquaval,Xurkitree,Comfey,Ditto,Regigigas,
Brew's Season 1,Mew,Venusaur-Mega,Clefable,Zapdos,Gengar,Snorlax,Starmie,Tauros,Magneton,Sandslash,Lapras
Pivot's Season 2,Garchomp,Sneasler,Tangrowth,Tapu Koko,Samurott-Hisui,Iron Crown,Moltres,Polteageist,Komala,Cryogonal,Pyukumuku
Rifk's Season 2,Great Tusk,Roaring Moon,Corviknight,Diancie-Mega,Slowking-Galar,Alomomola,Rotom-Heat,Arboliva,Avalugg,Mismagius,
Omey's Season 2,Tornadus-Therian,Archaludon,Ferrothorn,Floatzel,Tapu Lele,Pelipper,Terapagos,Swampert-Mega,Electrode-Hisui,Qwilfish-Hisui,
Athy's Season 2,Zeraora,Rotom-Wash,Necrozma,Kartana,Lopunny-Mega,Mamoswine,Talonflame,Tinkaton,Whimsicott,Tatsugiri,Muk
Charles's Season 2,Gouging Fire,Landorus-Therian,Greninja,Alakazam-Mega,Rillaboom,Raikou,Comfey,Empoleon,Hitmonlee,Vigoroth,
Fenrir's Season 2,Iron Valiant,Ogerpon-Wellspring,Heatran,Noivern,Deoxys-Speed,Pecharunt,Krookodile,Cinccino,Vikavolt,Murkrow,
BDI's Season 2,Melmetal,Ogerpon-Cornerstone,Clefable,Slowbro,Zapdos,Weavile,Flygon,Banette-Mega,Emboar,Bellibolt,
Taco's Season 2,Walking Wake,Iron Moth,Torkoal,Medicham-Mega,Hatterene,Raging Bolt,Gliscor,Venusaur,Morpeko,Arbok,
Fimmy's Season 2,Dragapult,Tapu Lele,Clodsire,Samurott-Hisui,Infernape,Registeel,Glalie-Mega,Rotom-Mow,Swellow,Crustle,Luvdisc
Bald's Season 2,Gouging Fire,Keldeo,Sandaconda,Diancie-Mega,Skarmory,Slowking,Weavile,Rillaboom,Coalossal,Swalot,Charjabug
Kwad's Season 2,Landorus,Gholdengo,Slowbro,Zygarde-10%,Weezing-Galar,Talonflame,Flapple,Vikavolt,Tyranitar-Mega,Cobalion,Stoutland
